Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\11_11_Paige_ZincTreated qPCR.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-11-11 13:09:09 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SD,HK Control ΔCт Mean,HK Control ΔCт SD,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,EXPFAIL,MTP
A2,BCC SS 10 uM Zinc,GLI1,UNKNOWN,SYBR,None,1,0.876709759,1.140628338,25.46073341,25.56478119,0.147145778,,7.700170517,0.189828783,,,0,TRUE,1531.834488,TRUE,3,20,1,87.96786499,,,,N,N,N
A3,BCC SS 10 uM Zinc,GLI1,UNKNOWN,SYBR,None,1,0.876709759,1.140628338,25.66882896,25.56478119,0.147145778,,7.700170517,0.189828783,,,0,TRUE,1531.834488,TRUE,3,21,1,87.66275787,,,,N,N,N
A7,BCC SS 4.8 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.516965389,0.405852944,0.658497632,24.84445,24.81339264,0.043923084,,8.652030945,0.349110603,,,0.951860428,TRUE,1531.834488,TRUE,3,20,1,87.36990356,,,,N,N,N
A9,BCC SS 4.8 uM Zinc,GLI1,UNKNOWN,SYBR,None,0.516965389,0.405852944,0.658497632,24.78233337,24.81339264,0.043923084,,8.652030945,0.349110603,,,0.951860428,TRUE,1531.834488,TRUE,3,19,1,87.37188721,,,,N,N,N
B1,BCC SS 10 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,18.00020981,17.86461067,0.119929515,,,,,,,TRUE,7376.434724,TRUE,3,12,1,84.23849487,,,,N,N,N
B2,BCC SS 10 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,17.82115746,17.86461067,0.119929515,,,,,,,TRUE,7376.434724,TRUE,3,12,1,84.08931732,,,,N,N,N
B3,BCC SS 10 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,17.77246475,17.86461067,0.119929515,,,,,,,TRUE,7376.434724,TRUE,3,12,1,84.08154297,,,,N,N,N
B4,BCC SS 6.9 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.64203262,16.51895332,0.187210456,,,,,,,TRUE,7376.434724,TRUE,3,9,1,83.93232727,,,,N,N,N
B5,BCC SS 6.9 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.61131477,16.51895332,0.187210456,,,,,,,TRUE,7376.434724,TRUE,3,10,1,84.0946579,,,,N,N,N
B6,BCC SS 6.9 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.30350876,16.51895332,0.187210456,,,,,,,TRUE,7376.434724,TRUE,3,10,1,84.0946579,,,,N,N,N
