Sample Name,Average RQ ,RQ Min,RQ Max
BCC SS 160 mM DCAA,0.901023149,0.579593897,1.40070951
BCC SS 126 mM DCAA,1.431214213,1.181764483,1.733318329
BCC SS 100 mM DCAA,1.402237773,1.181972861,1.663549781
BCC SS 80 mM DCAA,1.157014728,0.963035643,1.390066028
BCC SS 0 mM DCAA,1,0.901991725,1.108657598
3T3 SS 160 mM DCAA,1,0.468233764,2.135685444
3T3 SS 126 mM DCAA,2.354658842,2.126636982,2.607129574
3T3 SS 100 mM DCAA,1.646182179,1.540242553,1.759408474
3T3 SS 80 mM  DCAA,1.623041391,1.360249043,1.936603785
3T3 SS 0 mM DCAA,1.26828599,0.845626652,1.902197957
3T3 SSH 160 mM DCAA,6.374428749,4.676738262,8.688393593
3T3 SSH 126 mM DCAA,5.190980434,3.057498455,8.813178062
3T3 SSH 100 mM DCAA,3.684712887,2.975952148,4.562273979
3T3 SSH 80 mM DCAA,0.59230715,0.525899053,0.667100906
3T3 SSH 0 mM DCAA,2.448160648,2.077613115,2.884796619
