Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SD,HK Control ΔCт Mean,HK Control ΔCт SD,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,MTP
A1,BCC 10 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.12404573,0.870760858,1.451005459,32.36123276,32.15853882,0.286652505,,15.35886669,0.368352205,,,-0.168700695,TRUE,8195.397829,TRUE,3,24,1,87.53530121,83.95858002,66.37303162,,Y
A3,BCC 10 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.12404573,0.870760858,1.451005459,31.95584488,32.15853882,0.286652505,,15.35886669,0.368352205,,,-0.168700695,TRUE,8195.397829,TRUE,3,24,1,88.12654114,83.8038559,,,Y
A4,BCC 6.9 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.249305964,1.145138502,1.362948895,32.43418121,32.32401657,0.102777056,,15.20644093,0.125604674,,,-0.321126789,TRUE,8195.397829,TRUE,3,22,1,88.12654114,83.65480042,,,Y
A5,BCC 6.9 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.249305964,1.145138502,1.362948895,32.23071289,32.32401657,0.102777056,,15.20644093,0.125604674,,,-0.321126789,TRUE,8195.397829,TRUE,3,24,1,87.53825378,83.96136475,75.16819,,Y
A6,BCC 6.9 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.249305964,1.145138502,1.362948895,32.30715179,32.32401657,0.102777056,,15.20644093,0.125604674,,,-0.321126789,TRUE,8195.397829,TRUE,3,24,1,87.38921356,83.96136475,65.778862,,Y
A7,BCC 4.8 uM Zinc,Gli1,UNKNOWN,SYBR,None,0.720983505,0.629706085,0.825491846,32.61191559,32.83671188,0.195112988,,15.99952888,0.19528766,,,0.471961826,TRUE,8195.397829,TRUE,3,23,1,88.12835693,83.80587006,,,Y
A8,BCC 4.8 uM Zinc,Gli1,UNKNOWN,SYBR,None,0.720983505,0.629706085,0.825491846,32.93612671,32.83671188,0.195112988,,15.99952888,0.19528766,,,0.471961826,TRUE,8195.397829,TRUE,3,23,1,87.68119812,,,,N
A9,BCC 4.8 uM Zinc,Gli1,UNKNOWN,SYBR,None,0.720983505,0.629706085,0.825491846,32.96209717,32.83671188,0.195112988,,15.99952888,0.19528766,,,0.471961826,TRUE,8195.397829,TRUE,3,25,1,87.9810791,83.65858459,,,Y
A10,BCC 3.4 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.765263081,1.400247335,2.225430965,31.41950417,31.21389961,0.290768743,,14.70768452,0.334201545,,,-0.819883168,TRUE,8195.397829,TRUE,3,23,1,88.27918243,,,,N
A12,BCC 3.4 uM Zinc,Gli1,UNKNOWN,SYBR,None,1.765263081,1.400247335,2.225430965,31.00829506,31.21389961,0.290768743,,14.70768452,0.334201545,,,-0.819883168,TRUE,8195.397829,TRUE,3,22,1,86.94031525,66.3706665,,,Y
B2,BCC 10 uM Zinc,GAPDH,UNKNOWN,SYBR,None,,,,16.63609695,16.79967117,0.231330231,,,,,,,TRUE,16888.34445,TRUE,3,9,1,84.25663757,,,,N
